hand_index,handedness,lm_index,x,y,z
0,Right,0,0.665106,0.641148,-0.000000
0,Right,1,0.726766,0.606599,-0.018505
0,Right,2,0.777931,0.511416,-0.026319
0,Right,3,0.799390,0.429220,-0.034136
0,Right,4,0.802694,0.356313,-0.038033
0,Right,5,0.763564,0.427957,-0.013586
0,Right,6,0.782888,0.387738,-0.044703
0,Right,7,0.769315,0.467065,-0.059061
0,Right,8,0.754224,0.521515,-0.062878
0,Right,9,0.730323,0.415008,-0.018206
0,Right,10,0.755758,0.371610,-0.052747
0,Right,11,0.744402,0.472061,-0.061773
0,Right,12,0.731682,0.529444,-0.060251
0,Right,13,0.692392,0.413697,-0.026985
0,Right,14,0.714632,0.377173,-0.062132
0,Right,15,0.706024,0.477243,-0.056975
0,Right,16,0.694053,0.525539,-0.044117
0,Right,17,0.650164,0.418663,-0.037023
0,Right,18,0.672700,0.394963,-0.059095
0,Right,19,0.672484,0.458541,-0.052192
0,Right,20,0.664565,0.490316,-0.041478
