hand_index,handedness,lm_index,x,y,z
0,Left,0,0.544258,0.493496,0.000000
0,Left,1,0.519833,0.472125,-0.009901
0,Left,2,0.504860,0.426800,-0.015721
0,Left,3,0.501979,0.386205,-0.021346
0,Left,4,0.510777,0.370598,-0.026727
0,Left,5,0.519470,0.366514,-0.007854
0,Left,6,0.519022,0.312631,-0.017504
0,Left,7,0.520751,0.279690,-0.025429
0,Left,8,0.524300,0.251153,-0.031254
0,Left,9,0.534145,0.364862,-0.009860
0,Left,10,0.533763,0.305911,-0.017646
0,Left,11,0.536168,0.268642,-0.023684
0,Left,12,0.539929,0.236363,-0.027875
0,Left,13,0.548448,0.373514,-0.013580
0,Left,14,0.548375,0.317238,-0.020697
0,Left,15,0.550516,0.282538,-0.024947
0,Left,16,0.553354,0.252364,-0.027618
0,Left,17,0.562565,0.390677,-0.018596
0,Left,18,0.562261,0.345223,-0.025025
0,Left,19,0.562095,0.315940,-0.027784
0,Left,20,0.562451,0.289754,-0.029373
