hand_index,handedness,lm_index,x,y,z
0,Left,0,0.629068,0.398658,-0.000000
0,Left,1,0.582668,0.390428,-0.004173
0,Left,2,0.544902,0.359928,-0.010490
0,Left,3,0.516907,0.341816,-0.020326
0,Left,4,0.494892,0.321447,-0.029368
0,Left,5,0.561657,0.247434,0.009900
0,Left,6,0.540184,0.188248,-0.005211
0,Left,7,0.519018,0.193691,-0.018680
0,Left,8,0.505478,0.217364,-0.026176
0,Left,9,0.575641,0.235150,0.002567
0,Left,10,0.547755,0.168100,-0.013191
0,Left,11,0.521581,0.182861,-0.025242
0,Left,12,0.506559,0.213819,-0.029929
0,Left,13,0.590070,0.233759,-0.007858
0,Left,14,0.560852,0.170752,-0.019587
0,Left,15,0.531442,0.181581,-0.026363
0,Left,16,0.513219,0.204348,-0.028007
0,Left,17,0.603698,0.245641,-0.019455
0,Left,18,0.570395,0.211761,-0.027974
0,Left,19,0.544787,0.205691,-0.032612
0,Left,20,0.527577,0.204962,-0.033798
