hand_index,handedness,lm_index,x,y,z
0,Right,0,0.412864,0.492480,-0.000000
0,Right,1,0.435844,0.480989,-0.009626
0,Right,2,0.451780,0.442918,-0.013848
0,Right,3,0.449761,0.411165,-0.017294
0,Right,4,0.431402,0.406212,-0.019860
0,Right,5,0.441316,0.383613,-0.013671
0,Right,6,0.442079,0.335343,-0.022991
0,Right,7,0.441698,0.310253,-0.028096
0,Right,8,0.441756,0.282756,-0.032453
0,Right,9,0.423793,0.384848,-0.015340
0,Right,10,0.425053,0.381336,-0.024751
0,Right,11,0.426997,0.421143,-0.024567
0,Right,12,0.430680,0.423984,-0.023809
0,Right,13,0.408674,0.394669,-0.018281
0,Right,14,0.410939,0.402324,-0.029141
0,Right,15,0.416487,0.438222,-0.025722
0,Right,16,0.420600,0.438062,-0.022197
0,Right,17,0.395245,0.410008,-0.022412
0,Right,18,0.398859,0.417874,-0.028958
0,Right,19,0.405531,0.443186,-0.025643
0,Right,20,0.407536,0.446831,-0.022673
