hand_index,handedness,lm_index,x,y,z
0,Left,0,0.702367,0.533081,-0.000000
0,Left,1,0.679840,0.494388,-0.014111
0,Left,2,0.658098,0.448994,-0.023136
0,Left,3,0.654742,0.409298,-0.031811
0,Left,4,0.673599,0.399778,-0.036775
0,Left,5,0.683215,0.389295,-0.005662
0,Left,6,0.675070,0.365581,-0.020531
0,Left,7,0.673302,0.404614,-0.027615
0,Left,8,0.677962,0.409084,-0.031622
0,Left,9,0.700813,0.391044,-0.005038
0,Left,10,0.695056,0.369559,-0.021006
0,Left,11,0.691046,0.421206,-0.023309
0,Left,12,0.693537,0.422987,-0.022268
0,Left,13,0.718912,0.402176,-0.007435
0,Left,14,0.715334,0.372462,-0.022320
0,Left,15,0.710176,0.419382,-0.016356
0,Left,16,0.709961,0.427002,-0.009409
0,Left,17,0.735098,0.418240,-0.011440
0,Left,18,0.732346,0.400511,-0.018899
0,Left,19,0.725954,0.428583,-0.014220
0,Left,20,0.725133,0.435519,-0.009007
