hand_index,handedness,lm_index,x,y,z
0,Left,0,0.631929,0.799434,-0.000000
0,Left,1,0.586280,0.755214,-0.015521
0,Left,2,0.562829,0.656351,-0.021873
0,Left,3,0.547652,0.578627,-0.030126
0,Left,4,0.530421,0.526846,-0.034713
0,Left,5,0.588727,0.592781,0.002242
0,Left,6,0.573226,0.544325,-0.028239
0,Left,7,0.573328,0.606484,-0.050826
0,Left,8,0.577869,0.660230,-0.061030
0,Left,9,0.615160,0.575932,-0.000252
0,Left,10,0.596829,0.501407,-0.019587
0,Left,11,0.591216,0.454954,-0.031711
0,Left,12,0.587579,0.404028,-0.039222
0,Left,13,0.642354,0.579173,-0.009046
0,Left,14,0.634880,0.488374,-0.025897
0,Left,15,0.632644,0.431895,-0.031789
0,Left,16,0.629681,0.374474,-0.033649
0,Left,17,0.669794,0.598557,-0.020343
0,Left,18,0.675024,0.527756,-0.025431
0,Left,19,0.674422,0.484942,-0.024654
0,Left,20,0.672202,0.439676,-0.023971
