hand_index,handedness,lm_index,x,y,z
0,Right,0,0.402670,0.532243,0.000000
0,Right,1,0.427778,0.507022,-0.005924
0,Right,2,0.443581,0.459802,-0.007650
0,Right,3,0.447294,0.420580,-0.010249
0,Right,4,0.434250,0.408811,-0.012680
0,Right,5,0.431050,0.412965,0.001468
0,Right,6,0.431591,0.367949,-0.002902
0,Right,7,0.434110,0.339683,-0.008324
0,Right,8,0.434837,0.315012,-0.013915
0,Right,9,0.416631,0.414377,-0.001490
0,Right,10,0.414886,0.365623,-0.012135
0,Right,11,0.421123,0.385266,-0.019526
0,Right,12,0.422718,0.407744,-0.023095
0,Right,13,0.403186,0.424280,-0.005417
0,Right,14,0.401254,0.380414,-0.015575
0,Right,15,0.409639,0.394954,-0.020244
0,Right,16,0.411726,0.412400,-0.021833
0,Right,17,0.390725,0.441130,-0.010192
0,Right,18,0.390009,0.418561,-0.017715
0,Right,19,0.396162,0.419921,-0.021911
0,Right,20,0.398367,0.422951,-0.024695
