hand_index,handedness,lm_index,x,y,z
0,Right,0,0.400187,0.529727,0.000000
0,Right,1,0.402398,0.482832,-0.013419
0,Right,2,0.383653,0.443219,-0.019470
0,Right,3,0.360473,0.440885,-0.025951
0,Right,4,0.339254,0.455617,-0.031662
0,Right,5,0.341646,0.428491,-0.008948
0,Right,6,0.306946,0.411657,-0.021009
0,Right,7,0.284884,0.404726,-0.029498
0,Right,8,0.266905,0.399948,-0.035098
0,Right,9,0.334521,0.461228,-0.012148
0,Right,10,0.297149,0.442853,-0.027834
0,Right,11,0.274010,0.428517,-0.037832
0,Right,12,0.254300,0.417934,-0.042447
0,Right,13,0.335732,0.496632,-0.017352
0,Right,14,0.324457,0.480616,-0.040738
0,Right,15,0.350061,0.485410,-0.045565
0,Right,16,0.367049,0.488262,-0.042249
0,Right,17,0.342287,0.529806,-0.023459
0,Right,18,0.341872,0.512046,-0.042891
0,Right,19,0.362685,0.505384,-0.045657
0,Right,20,0.377209,0.498894,-0.043496
1,Left,0,0.633818,0.925915,0.000000
1,Left,1,0.609269,0.929314,-0.007310
1,Left,2,0.585963,0.966492,-0.015439
1,Left,3,0.572722,1.003612,-0.020681
1,Left,4,0.567085,1.033510,-0.027298
1,Left,5,0.586838,0.961920,-0.037367
1,Left,6,0.567126,1.008097,-0.048818
1,Left,7,0.565221,1.045472,-0.052990
1,Left,8,0.566538,1.071165,-0.055454
1,Left,9,0.603961,0.968908,-0.038805
1,Left,10,0.582409,1.011108,-0.048515
1,Left,11,0.581718,1.046765,-0.049334
1,Left,12,0.584677,1.067268,-0.051206
1,Left,13,0.624429,0.976642,-0.038994
1,Left,14,0.609100,1.020991,-0.046692
1,Left,15,0.608850,1.051514,-0.045164
1,Left,16,0.610763,1.067028,-0.045226
1,Left,17,0.645294,0.984713,-0.038921
1,Left,18,0.637811,1.028381,-0.046660
1,Left,19,0.635659,1.052094,-0.046936
1,Left,20,0.635302,1.067147,-0.047302
