hand_index,handedness,lm_index,x,y,z
0,Left,0,0.715833,0.844662,-0.000000
0,Left,1,0.688081,0.818445,-0.031095
0,Left,2,0.667653,0.741470,-0.046781
0,Left,3,0.668403,0.666671,-0.059123
0,Left,4,0.689497,0.626391,-0.065600
0,Left,5,0.690828,0.667343,-0.028365
0,Left,6,0.697245,0.629308,-0.049461
0,Left,7,0.694609,0.686505,-0.053511
0,Left,8,0.696974,0.705911,-0.051503
0,Left,9,0.715482,0.661583,-0.020232
0,Left,10,0.725179,0.631452,-0.048150
0,Left,11,0.714677,0.707034,-0.051770
0,Left,12,0.711342,0.721757,-0.046710
0,Left,13,0.735392,0.658020,-0.015891
0,Left,14,0.738486,0.621476,-0.048029
0,Left,15,0.726234,0.694388,-0.049715
0,Left,16,0.718113,0.717593,-0.040510
0,Left,17,0.750689,0.653177,-0.012504
0,Left,18,0.755430,0.570694,-0.028950
0,Left,19,0.755080,0.533867,-0.030475
0,Left,20,0.754687,0.484159,-0.026910
