hand_index,handedness,lm_index,x,y,z
0,Left,0,0.707767,0.841523,-0.000000
0,Left,1,0.691045,0.710660,0.001502
0,Left,2,0.628752,0.608177,-0.012020
0,Left,3,0.561045,0.579392,-0.024273
0,Left,4,0.518608,0.613876,-0.035618
0,Left,5,0.631464,0.597332,-0.056693
0,Left,6,0.524906,0.557326,-0.077659
0,Left,7,0.545673,0.596956,-0.078993
0,Left,8,0.578288,0.614665,-0.077162
0,Left,9,0.618707,0.688812,-0.067576
0,Left,10,0.511904,0.653706,-0.084080
0,Left,11,0.540752,0.685006,-0.074130
0,Left,12,0.574483,0.692989,-0.068377
0,Left,13,0.603122,0.781961,-0.075636
0,Left,14,0.512966,0.738583,-0.085080
0,Left,15,0.538614,0.753610,-0.069325
0,Left,16,0.569428,0.758879,-0.060666
0,Left,17,0.588722,0.869230,-0.082570
0,Left,18,0.511111,0.819278,-0.089223
0,Left,19,0.484312,0.800079,-0.082559
0,Left,20,0.464894,0.789131,-0.079167
