hand_index,handedness,lm_index,x,y,z
0,Left,0,0.747325,0.474104,-0.000000
0,Left,1,0.727090,0.438127,-0.008007
0,Left,2,0.719104,0.387898,-0.007988
0,Left,3,0.725934,0.347896,-0.008832
0,Left,4,0.733505,0.318396,-0.009173
0,Left,5,0.732866,0.366164,0.005662
0,Left,6,0.729135,0.319533,0.001141
0,Left,7,0.726394,0.291309,-0.002883
0,Left,8,0.725274,0.264749,-0.006317
0,Left,9,0.748477,0.371639,0.004511
0,Left,10,0.746222,0.325440,-0.004252
0,Left,11,0.743210,0.294626,-0.011610
0,Left,12,0.740251,0.266623,-0.015716
0,Left,13,0.762592,0.385450,0.001363
0,Left,14,0.763757,0.359428,-0.014519
0,Left,15,0.758643,0.393000,-0.019059
0,Left,16,0.754398,0.418042,-0.017686
0,Left,17,0.776931,0.403432,-0.002232
0,Left,18,0.775945,0.381033,-0.016977
0,Left,19,0.768979,0.401495,-0.019785
0,Left,20,0.764350,0.419945,-0.018727
