hand_index,handedness,lm_index,x,y,z
0,Left,0,0.757867,0.478414,-0.000000
0,Left,1,0.734518,0.452535,-0.013352
0,Left,2,0.716163,0.407183,-0.022358
0,Left,3,0.697554,0.373732,-0.030368
0,Left,4,0.678908,0.356966,-0.037961
0,Left,5,0.734574,0.346721,-0.016171
0,Left,6,0.735563,0.291555,-0.028630
0,Left,7,0.737530,0.255839,-0.036211
0,Left,8,0.737728,0.223859,-0.041599
0,Left,9,0.754071,0.344521,-0.015277
0,Left,10,0.756197,0.349431,-0.030843
0,Left,11,0.753491,0.397703,-0.031708
0,Left,12,0.749784,0.413847,-0.028866
0,Left,13,0.772069,0.356681,-0.015902
0,Left,14,0.771444,0.367592,-0.031413
0,Left,15,0.766737,0.410050,-0.026045
0,Left,16,0.762376,0.421275,-0.018945
0,Left,17,0.787734,0.374002,-0.017659
0,Left,18,0.788035,0.379992,-0.027188
0,Left,19,0.780637,0.410544,-0.021737
0,Left,20,0.775842,0.419462,-0.015341
