hand_index,handedness,lm_index,x,y,z
0,Right,0,0.342303,0.541367,-0.000000
0,Right,1,0.373716,0.497353,-0.018270
0,Right,2,0.388127,0.412639,-0.025043
0,Right,3,0.389840,0.339347,-0.031502
0,Right,4,0.381629,0.283300,-0.035630
0,Right,5,0.365360,0.337142,-0.009526
0,Right,6,0.354508,0.254128,-0.029088
0,Right,7,0.359142,0.276243,-0.040384
0,Right,8,0.361266,0.318771,-0.044690
0,Right,9,0.338372,0.345906,-0.008944
0,Right,10,0.322916,0.255403,-0.026241
0,Right,11,0.330127,0.294182,-0.031584
0,Right,12,0.337816,0.332518,-0.032522
0,Right,13,0.314058,0.368926,-0.012101
0,Right,14,0.298765,0.293222,-0.030991
0,Right,15,0.308877,0.331661,-0.029981
0,Right,16,0.318000,0.369945,-0.025719
0,Right,17,0.291754,0.403133,-0.017247
0,Right,18,0.277949,0.361021,-0.032350
0,Right,19,0.286983,0.380044,-0.033470
0,Right,20,0.296309,0.402758,-0.031708
