hand_index,handedness,lm_index,x,y,z
0,Left,0,0.657481,0.722684,-0.000000
0,Left,1,0.607126,0.660495,-0.024188
0,Left,2,0.586226,0.544685,-0.034074
0,Left,3,0.604645,0.462538,-0.042021
0,Left,4,0.635674,0.408890,-0.046699
0,Left,5,0.591257,0.446269,-0.016239
0,Left,6,0.552143,0.410144,-0.044464
0,Left,7,0.557756,0.473773,-0.060773
0,Left,8,0.568047,0.532518,-0.067942
0,Left,9,0.626106,0.432726,-0.015035
0,Left,10,0.586628,0.389360,-0.046000
0,Left,11,0.585254,0.469127,-0.055558
0,Left,12,0.588413,0.536653,-0.054901
0,Left,13,0.662751,0.444614,-0.018075
0,Left,14,0.632029,0.449004,-0.049652
0,Left,15,0.621591,0.544865,-0.047798
0,Left,16,0.617147,0.609485,-0.038061
0,Left,17,0.698556,0.476888,-0.023758
0,Left,18,0.666516,0.498036,-0.046587
0,Left,19,0.653088,0.566445,-0.046083
0,Left,20,0.649455,0.609036,-0.039466
