hand_index,handedness,lm_index,x,y,z
0,Left,0,0.494384,0.791873,-0.000001
0,Left,1,0.419344,0.772723,0.009982
0,Left,2,0.376708,0.725165,0.008031
0,Left,3,0.339579,0.697810,-0.003004
0,Left,4,0.308502,0.662187,-0.015360
0,Left,5,0.405666,0.569902,0.032438
0,Left,6,0.352759,0.542651,0.019558
0,Left,7,0.321626,0.580230,0.002014
0,Left,8,0.304187,0.624336,-0.009300
0,Left,9,0.419801,0.554097,0.013379
0,Left,10,0.350913,0.522041,0.003784
0,Left,11,0.320108,0.573631,-0.012258
0,Left,12,0.308917,0.627715,-0.023665
0,Left,13,0.429243,0.554591,-0.008598
0,Left,14,0.360212,0.517808,-0.019604
0,Left,15,0.323270,0.569749,-0.030459
0,Left,16,0.309358,0.626975,-0.037058
0,Left,17,0.430592,0.571968,-0.030932
0,Left,18,0.371629,0.529842,-0.038653
0,Left,19,0.334428,0.553748,-0.040438
0,Left,20,0.313522,0.595366,-0.041210
