hand_index,handedness,lm_index,x,y,z
0,Left,0,0.528193,0.624608,-0.000000
0,Left,1,0.482643,0.664731,0.012756
0,Left,2,0.438004,0.671867,0.012620
0,Left,3,0.404427,0.693487,0.003678
0,Left,4,0.371958,0.710035,-0.006908
0,Left,5,0.403205,0.566923,0.028850
0,Left,6,0.356156,0.563977,0.021217
0,Left,7,0.323358,0.575486,0.012044
0,Left,8,0.295438,0.588180,0.004293
0,Left,9,0.410077,0.542133,0.008540
0,Left,10,0.354380,0.580743,-0.007558
0,Left,11,0.352757,0.642236,-0.020791
0,Left,12,0.363314,0.688562,-0.026960
0,Left,13,0.421014,0.529119,-0.013341
0,Left,14,0.366455,0.566392,-0.030088
0,Left,15,0.359671,0.632816,-0.036399
0,Left,16,0.365909,0.681112,-0.036990
0,Left,17,0.433331,0.526360,-0.034861
0,Left,18,0.384939,0.539627,-0.045007
0,Left,19,0.364621,0.583374,-0.045436
0,Left,20,0.357368,0.624431,-0.044154
