hand_index,handedness,lm_index,x,y,z
0,Left,0,0.647386,0.586214,-0.000000
0,Left,1,0.596824,0.675314,0.001081
0,Left,2,0.561194,0.721744,-0.011321
0,Left,3,0.544772,0.777211,-0.027628
0,Left,4,0.534451,0.834611,-0.044503
0,Left,5,0.507760,0.631116,-0.012360
0,Left,6,0.477974,0.715339,-0.031744
0,Left,7,0.472373,0.775529,-0.045627
0,Left,8,0.467905,0.824412,-0.055046
0,Left,9,0.517391,0.599409,-0.024697
0,Left,10,0.508496,0.721525,-0.038595
0,Left,11,0.544799,0.731724,-0.039587
0,Left,12,0.558677,0.704520,-0.041474
0,Left,13,0.538452,0.582824,-0.037885
0,Left,14,0.531293,0.703892,-0.046852
0,Left,15,0.564427,0.706166,-0.035375
0,Left,16,0.575033,0.676060,-0.029864
0,Left,17,0.563804,0.581214,-0.052337
0,Left,18,0.552109,0.668201,-0.055219
0,Left,19,0.570646,0.679193,-0.043097
0,Left,20,0.579308,0.663665,-0.035326
