hand_index,handedness,lm_index,x,y,z
0,Left,0,0.552187,0.892393,0.000000
0,Left,1,0.498195,0.844788,-0.032421
0,Left,2,0.463275,0.728833,-0.049480
0,Left,3,0.466201,0.624460,-0.067358
0,Left,4,0.498497,0.552149,-0.083014
0,Left,5,0.478818,0.572228,-0.014959
0,Left,6,0.477399,0.431720,-0.043020
0,Left,7,0.477306,0.345785,-0.061035
0,Left,8,0.483882,0.267987,-0.074131
0,Left,9,0.522024,0.565146,-0.016593
0,Left,10,0.499870,0.410259,-0.046761
0,Left,11,0.481947,0.323850,-0.063505
0,Left,12,0.471699,0.249001,-0.070984
0,Left,13,0.565361,0.589833,-0.023212
0,Left,14,0.544441,0.499853,-0.068898
0,Left,15,0.522389,0.607415,-0.072049
0,Left,16,0.511766,0.686431,-0.061714
0,Left,17,0.609471,0.639697,-0.032785
0,Left,18,0.573293,0.618182,-0.076644
0,Left,19,0.543442,0.707209,-0.082629
0,Left,20,0.529183,0.776952,-0.076537
