hand_index,handedness,lm_index,x,y,z
0,Left,0,0.388214,0.635780,-0.000000
0,Left,1,0.452486,0.561632,0.000616
0,Left,2,0.485469,0.465011,-0.000093
0,Left,3,0.508303,0.386803,0.000145
0,Left,4,0.535378,0.360139,0.001106
0,Left,5,0.431653,0.367446,-0.009453
0,Left,6,0.449620,0.346631,-0.005072
0,Left,7,0.455980,0.392789,-0.002327
0,Left,8,0.453349,0.427341,-0.001347
0,Left,9,0.391756,0.368242,-0.010715
0,Left,10,0.412046,0.361121,0.002004
0,Left,11,0.421156,0.397872,0.005044
0,Left,12,0.420506,0.427654,0.000648
0,Left,13,0.357241,0.390068,-0.010004
0,Left,14,0.376025,0.378450,0.000285
0,Left,15,0.384000,0.409243,0.003429
0,Left,16,0.382558,0.440789,-0.000660
0,Left,17,0.328637,0.419755,-0.008928
0,Left,18,0.337676,0.401708,-0.002278
0,Left,19,0.345141,0.429106,0.004305
0,Left,20,0.346665,0.458384,0.006796
