hand_index,handedness,lm_index,x,y,z
0,Left,0,0.744230,0.781468,-0.000000
0,Left,1,0.715507,0.706993,-0.010531
0,Left,2,0.675634,0.631185,-0.026705
0,Left,3,0.648001,0.578504,-0.040859
0,Left,4,0.645056,0.518858,-0.055687
0,Left,5,0.701005,0.597489,-0.045189
0,Left,6,0.635953,0.600197,-0.063459
0,Left,7,0.597942,0.599152,-0.071457
0,Left,8,0.572430,0.591427,-0.078069
0,Left,9,0.707426,0.650302,-0.050482
0,Left,10,0.629437,0.668599,-0.062419
0,Left,11,0.639993,0.685655,-0.057489
0,Left,12,0.660327,0.687496,-0.057971
0,Left,13,0.709598,0.712226,-0.055489
0,Left,14,0.634317,0.723612,-0.068450
0,Left,15,0.650617,0.736683,-0.055379
0,Left,16,0.673391,0.729938,-0.048960
0,Left,17,0.710424,0.769784,-0.060872
0,Left,18,0.647571,0.765113,-0.075166
0,Left,19,0.659114,0.772434,-0.067791
0,Left,20,0.678990,0.768393,-0.062166
