hand_index,handedness,lm_index,x,y,z
0,Left,0,0.747618,0.778067,0.000000
0,Left,1,0.712124,0.715485,-0.018895
0,Left,2,0.694438,0.628903,-0.022378
0,Left,3,0.707664,0.560504,-0.025832
0,Left,4,0.733481,0.525947,-0.027023
0,Left,5,0.690388,0.556997,-0.002122
0,Left,6,0.691223,0.466054,-0.013830
0,Left,7,0.695497,0.410859,-0.022091
0,Left,8,0.701326,0.359333,-0.027693
0,Left,9,0.719608,0.552841,-0.002470
0,Left,10,0.718339,0.452128,-0.015822
0,Left,11,0.722604,0.392189,-0.024662
0,Left,12,0.726558,0.337958,-0.028986
0,Left,13,0.747657,0.569551,-0.006251
0,Left,14,0.758944,0.517182,-0.033465
0,Left,15,0.753631,0.582611,-0.037527
0,Left,16,0.746697,0.628464,-0.031437
0,Left,17,0.773351,0.598180,-0.011374
0,Left,18,0.777620,0.558281,-0.034627
0,Left,19,0.768164,0.604165,-0.035357
0,Left,20,0.760308,0.643022,-0.029966
