hand_index,handedness,lm_index,x,y,z
0,Left,0,0.441028,0.876216,-0.000000
0,Left,1,0.404449,0.821971,-0.026867
0,Left,2,0.371817,0.742452,-0.045752
0,Left,3,0.369457,0.682387,-0.065517
0,Left,4,0.395201,0.645430,-0.083834
0,Left,5,0.402976,0.612599,-0.025564
0,Left,6,0.376653,0.513403,-0.053114
0,Left,7,0.361094,0.454526,-0.070354
0,Left,8,0.354807,0.402032,-0.079965
0,Left,9,0.441649,0.604598,-0.028105
0,Left,10,0.426246,0.487803,-0.056502
0,Left,11,0.418186,0.415183,-0.071674
0,Left,12,0.414021,0.355891,-0.077515
0,Left,13,0.477083,0.626073,-0.033675
0,Left,14,0.435855,0.613549,-0.069668
0,Left,15,0.413186,0.699464,-0.074512
0,Left,16,0.403326,0.763410,-0.066986
0,Left,17,0.507533,0.668774,-0.041656
0,Left,18,0.466010,0.666605,-0.066099
0,Left,19,0.444165,0.726156,-0.063358
0,Left,20,0.433417,0.774767,-0.054212
