hand_index,handedness,lm_index,x,y,z
0,Left,0,0.609912,0.899710,-0.000000
0,Left,1,0.577194,0.871725,-0.023801
0,Left,2,0.567401,0.815251,-0.034399
0,Left,3,0.592334,0.788165,-0.040440
0,Left,4,0.624187,0.766524,-0.048825
0,Left,5,0.567287,0.687532,-0.030460
0,Left,6,0.547269,0.602638,-0.042814
0,Left,7,0.534198,0.550797,-0.053276
0,Left,8,0.527320,0.502118,-0.062778
0,Left,9,0.600589,0.678313,-0.031858
0,Left,10,0.590589,0.567768,-0.040371
0,Left,11,0.581141,0.505963,-0.049872
0,Left,12,0.578756,0.447844,-0.058488
0,Left,13,0.630819,0.699434,-0.035072
0,Left,14,0.640474,0.610929,-0.058039
0,Left,15,0.640103,0.546822,-0.079317
0,Left,16,0.644962,0.482401,-0.095120
0,Left,17,0.657156,0.746190,-0.038250
0,Left,18,0.647414,0.733584,-0.065306
0,Left,19,0.631943,0.776213,-0.074053
0,Left,20,0.623828,0.816536,-0.079441
