hand_index,handedness,lm_index,x,y,z
0,Left,0,0.552609,0.652372,-0.000000
0,Left,1,0.511589,0.616137,-0.009220
0,Left,2,0.484031,0.564462,-0.021120
0,Left,3,0.468673,0.519779,-0.035344
0,Left,4,0.462336,0.477351,-0.045692
0,Left,5,0.521452,0.427944,-0.009147
0,Left,6,0.507252,0.347429,-0.026888
0,Left,7,0.480515,0.341143,-0.032681
0,Left,8,0.461399,0.355629,-0.034218
0,Left,9,0.537901,0.427048,-0.013348
0,Left,10,0.476373,0.432921,-0.026647
0,Left,11,0.474810,0.501402,-0.023175
0,Left,12,0.496106,0.518743,-0.018846
0,Left,13,0.548518,0.444716,-0.020498
0,Left,14,0.483997,0.475335,-0.028182
0,Left,15,0.492035,0.530622,-0.015413
0,Left,16,0.511902,0.536535,-0.007848
0,Left,17,0.552978,0.469536,-0.030342
0,Left,18,0.499999,0.498983,-0.036510
0,Left,19,0.505417,0.538678,-0.030210
0,Left,20,0.522485,0.546857,-0.023993
