hand_index,handedness,lm_index,x,y,z
0,Left,0,0.619651,0.573487,-0.000000
0,Left,1,0.601019,0.496763,0.001809
0,Left,2,0.566226,0.415763,-0.000516
0,Left,3,0.549278,0.349007,-0.002620
0,Left,4,0.564080,0.306344,-0.005583
0,Left,5,0.543820,0.412062,-0.017502
0,Left,6,0.498086,0.425690,-0.024189
0,Left,7,0.510780,0.452449,-0.028373
0,Left,8,0.529994,0.464983,-0.031127
0,Left,9,0.534025,0.459469,-0.021929
0,Left,10,0.492490,0.478803,-0.022697
0,Left,11,0.507100,0.502042,-0.020698
0,Left,12,0.523476,0.510010,-0.022889
0,Left,13,0.525493,0.513884,-0.025418
0,Left,14,0.487336,0.528374,-0.028838
0,Left,15,0.502832,0.546032,-0.027577
0,Left,16,0.521616,0.553282,-0.029570
0,Left,17,0.519126,0.570503,-0.027945
0,Left,18,0.467089,0.569703,-0.033831
0,Left,19,0.440393,0.572239,-0.035386
0,Left,20,0.417154,0.567173,-0.037954
