hand_index,handedness,lm_index,x,y,z
0,Left,0,0.673186,0.811250,-0.000000
0,Left,1,0.633551,0.757773,-0.015344
0,Left,2,0.601700,0.670595,-0.024973
0,Left,3,0.594813,0.598665,-0.036980
0,Left,4,0.615110,0.552501,-0.047990
0,Left,5,0.627153,0.580896,-0.001549
0,Left,6,0.617606,0.490845,-0.022173
0,Left,7,0.607007,0.442063,-0.035327
0,Left,8,0.600064,0.403165,-0.043222
0,Left,9,0.657957,0.586364,-0.004979
0,Left,10,0.641931,0.542326,-0.037290
0,Left,11,0.632518,0.615354,-0.047710
0,Left,12,0.630635,0.671314,-0.046552
0,Left,13,0.689379,0.600699,-0.011968
0,Left,14,0.671445,0.567584,-0.043502
0,Left,15,0.659575,0.640388,-0.040380
0,Left,16,0.657392,0.691915,-0.028877
0,Left,17,0.720142,0.623649,-0.020438
0,Left,18,0.706287,0.574405,-0.040020
0,Left,19,0.690014,0.625772,-0.034441
0,Left,20,0.684349,0.670581,-0.024619
