hand_index,handedness,lm_index,x,y,z
0,Left,0,0.681343,0.731066,-0.000001
0,Left,1,0.583113,0.783887,0.013505
0,Left,2,0.513923,0.788438,0.006625
0,Left,3,0.470682,0.821543,-0.008582
0,Left,4,0.443106,0.845058,-0.026229
0,Left,5,0.492197,0.597503,0.002631
0,Left,6,0.401624,0.614387,-0.019968
0,Left,7,0.351321,0.650814,-0.039860
0,Left,8,0.312181,0.687968,-0.053084
0,Left,9,0.509437,0.588037,-0.019166
0,Left,10,0.413436,0.688333,-0.042345
0,Left,11,0.409409,0.792911,-0.055106
0,Left,12,0.427301,0.850233,-0.063348
0,Left,13,0.531889,0.607649,-0.041779
0,Left,14,0.443489,0.698851,-0.062637
0,Left,15,0.435168,0.801093,-0.064123
0,Left,16,0.449207,0.864581,-0.062648
0,Left,17,0.556003,0.650682,-0.064012
0,Left,18,0.488742,0.699015,-0.075524
0,Left,19,0.461121,0.765700,-0.073166
0,Left,20,0.453123,0.825095,-0.070158
